país,factor_(serie),Año,Valor
Camboya,"Esperanza de vida al nacer, mujeres (años)",1987,55.983
Camboya,"Esperanza de vida al nacer, varones (años)",1987,50.597
Chad,"Esperanza de vida al nacer, total (años)",1987,42.798
Chad,"Esperanza de vida al nacer, mujeres (años)",1987,47.422
Chad,"Esperanza de vida al nacer, varones (años)",1987,38.766
Dinamarca,"Esperanza de vida al nacer, total (años)",1987,74.6912
Dinamarca,"Esperanza de vida al nacer, mujeres (años)",1987,77.79
Dinamarca,"Esperanza de vida al nacer, varones (años)",1987,71.74
Ecuador,"Esperanza de vida al nacer, total (años)",1987,67.3
Ecuador,"Esperanza de vida al nacer, mujeres (años)",1987,70.098
Ecuador,"Esperanza de vida al nacer, varones (años)",1987,64.625
Emiratos Árabes Unidos,"Esperanza de vida al nacer, total (años)",1987,71.491
Emiratos Árabes Unidos,"Esperanza de vida al nacer, mujeres (años)",1987,74.513
Emiratos Árabes Unidos,"Esperanza de vida al nacer, varones (años)",1987,69.768
"Egipto, República Árabe de","Esperanza de vida al nacer, total (años)",1987,62.137
"Egipto, República Árabe de","Esperanza de vida al nacer, mujeres (años)",1987,63.916
"Egipto, República Árabe de","Esperanza de vida al nacer, varones (años)",1987,60.27
Cuba,"Esperanza de vida al nacer, total (años)",1987,73.825
Cuba,"Esperanza de vida al nacer, mujeres (años)",1987,75.927
Cuba,"Esperanza de vida al nacer, varones (años)",1987,71.918
Costa Rica,"Esperanza de vida al nacer, total (años)",1987,75.741
Costa Rica,"Esperanza de vida al nacer, mujeres (años)",1987,77.676
Costa Rica,"Esperanza de vida al nacer, varones (años)",1987,73.902
Estados Unidos,"Esperanza de vida al nacer, total (años)",1987,74.7659
Estados Unidos,"Esperanza de vida al nacer, mujeres (años)",1987,78.3
Estados Unidos,"Esperanza de vida al nacer, varones (años)",1987,71.4
España,"Esperanza de vida al nacer, total (años)",1987,76.728
España,"Esperanza de vida al nacer, mujeres (años)",1987,80.17
España,"Esperanza de vida al nacer, varones (años)",1987,73.45
Fiji,"Esperanza de vida al nacer, total (años)",1987,64.936
Fiji,"Esperanza de vida al nacer, mujeres (años)",1987,67.773
Fiji,"Esperanza de vida al nacer, varones (años)",1987,62.593
Finlandia,"Esperanza de vida al nacer, total (años)",1987,74.592
Finlandia,"Esperanza de vida al nacer, mujeres (años)",1987,78.71
Finlandia,"Esperanza de vida al nacer, varones (años)",1987,70.67
Federación de Rusia,"Esperanza de vida al nacer, total (años)",1987,69.44
Federación de Rusia,"Esperanza de vida al nacer, mujeres (años)",1987,74.27
Federación de Rusia,"Esperanza de vida al nacer, varones (años)",1987,64.84
Grecia,"Esperanza de vida al nacer, total (años)",1987,76.2799
Grecia,"Esperanza de vida al nacer, mujeres (años)",1987,78.827
Grecia,"Esperanza de vida al nacer, varones (años)",1987,73.854
India,"Esperanza de vida al nacer, total (años)",1987,57.315
India,"Esperanza de vida al nacer, mujeres (años)",1987,57.999
India,"Esperanza de vida al nacer, varones (años)",1987,56.726
Marruecos,"Esperanza de vida al nacer, total (años)",1987,60.711
Marruecos,"Esperanza de vida al nacer, mujeres (años)",1987,62.207
Marruecos,"Esperanza de vida al nacer, varones (años)",1987,59.289
México,"Esperanza de vida al nacer, total (años)",1987,68.844
México,"Esperanza de vida al nacer, mujeres (años)",1987,72.433
México,"Esperanza de vida al nacer, varones (años)",1987,65.485
Nepal,"Esperanza de vida al nacer, total (años)",1987,52.475
Nepal,"Esperanza de vida al nacer, mujeres (años)",1987,52.354
Nepal,"Esperanza de vida al nacer, varones (años)",1987,52.53
Níger,"Esperanza de vida al nacer, total (años)",1987,40.433
Níger,"Esperanza de vida al nacer, mujeres (años)",1987,40.45
Níger,"Esperanza de vida al nacer, varones (años)",1987,40.325
Países Bajos,"Esperanza de vida al nacer, total (años)",1987,76.7051
Países Bajos,"Esperanza de vida al nacer, mujeres (años)",1987,80.06
Países Bajos,"Esperanza de vida al nacer, varones (años)",1987,73.51
Nueva Zelandia,"Esperanza de vida al nacer, total (años)",1987,74.178
Nueva Zelandia,"Esperanza de vida al nacer, mujeres (años)",1987,77.2
Nueva Zelandia,"Esperanza de vida al nacer, varones (años)",1987,71.3
Reino Unido,"Esperanza de vida al nacer, total (años)",1987,75.2805
Reino Unido,"Esperanza de vida al nacer, mujeres (años)",1987,78.2
Reino Unido,"Esperanza de vida al nacer, varones (años)",1987,72.5
Rwanda,"Esperanza de vida al nacer, total (años)",1987,51.477
Rwanda,"Esperanza de vida al nacer, mujeres (años)",1987,53.483
Rwanda,"Esperanza de vida al nacer, varones (años)",1987,49.589
Samoa,"Esperanza de vida al nacer, total (años)",1987,66.883
Samoa,"Esperanza de vida al nacer, mujeres (años)",1987,70.491
Samoa,"Esperanza de vida al nacer, varones (años)",1987,64.051
Sierra Leona,"Esperanza de vida al nacer, total (años)",1987,44.047
Sierra Leona,"Esperanza de vida al nacer, mujeres (años)",1987,45.2
Sierra Leona,"Esperanza de vida al nacer, varones (años)",1987,42.885
Sudáfrica,"Esperanza de vida al nacer, total (años)",1987,63.041
Sudáfrica,"Esperanza de vida al nacer, mujeres (años)",1987,65.968
Sudáfrica,"Esperanza de vida al nacer, varones (años)",1987,60.011
Singapur,"Esperanza de vida al nacer, total (años)",1987,74.5488
Singapur,"Esperanza de vida al nacer, mujeres (años)",1987,76.7
Singapur,"Esperanza de vida al nacer, varones (años)",1987,72.5
Suiza,"Esperanza de vida al nacer, total (años)",1987,77.1976
Suiza,"Esperanza de vida al nacer, mujeres (años)",1987,80.66
Suiza,"Esperanza de vida al nacer, varones (años)",1987,73.9
Venezuela,"Esperanza de vida al nacer, total (años)",1987,71.047
Venezuela,"Esperanza de vida al nacer, mujeres (años)",1987,73.336
Venezuela,"Esperanza de vida al nacer, varones (años)",1987,68.85
Colombia,"Esperanza de vida al nacer, total (años)",1987,68.268
Colombia,"Esperanza de vida al nacer, mujeres (años)",1987,71.992
Colombia,"Esperanza de vida al nacer, varones (años)",1987,64.756
Japón,"Esperanza de vida al nacer, total (años)",1987,78.4295
Japón,"Esperanza de vida al nacer, mujeres (años)",1987,81.39
Japón,"Esperanza de vida al nacer, varones (años)",1987,75.61
Kenya,"Esperanza de vida al nacer, total (años)",1987,60.044
Kenya,"Esperanza de vida al nacer, mujeres (años)",1987,61.617
Kenya,"Esperanza de vida al nacer, varones (años)",1987,58.437
Noruega,"Esperanza de vida al nacer, total (años)",1987,76.0817
Noruega,"Esperanza de vida al nacer, mujeres (años)",1987,79.58
Noruega,"Esperanza de vida al nacer, varones (años)",1987,72.75
Afganistán,"Esperanza de vida al nacer, total (años)",1988,43.958
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1988,46.569
Afganistán,"Esperanza de vida al nacer, varones (años)",1988,41.572
Alemania,"Esperanza de vida al nacer, total (años)",1988,74.9987
Alemania,"Esperanza de vida al nacer, mujeres (años)",1988,78.286
Alemania,"Esperanza de vida al nacer, varones (años)",1988,71.868
Argelia,"Esperanza de vida al nacer, total (años)",1988,66.971
Argelia,"Esperanza de vida al nacer, mujeres (años)",1988,67.901
Argelia,"Esperanza de vida al nacer, varones (años)",1988,66.034
Arabia Saudita,"Esperanza de vida al nacer, total (años)",1988,67.972
Arabia Saudita,"Esperanza de vida al nacer, mujeres (años)",1988,69.778
Arabia Saudita,"Esperanza de vida al nacer, varones (años)",1988,66.679
Argentina,"Esperanza de vida al nacer, total (años)",1988,71.052
Argentina,"Esperanza de vida al nacer, mujeres (años)",1988,74.381
Argentina,"Esperanza de vida al nacer, varones (años)",1988,67.711
Australia,"Esperanza de vida al nacer, total (años)",1988,76.4327
Australia,"Esperanza de vida al nacer, mujeres (años)",1988,79.68
Australia,"Esperanza de vida al nacer, varones (años)",1988,73.34
Austria,"Esperanza de vida al nacer, total (años)",1988,75.2171
Austria,"Esperanza de vida al nacer, mujeres (años)",1988,78.7
Austria,"Esperanza de vida al nacer, varones (años)",1988,71.9
Brasil,"Esperanza de vida al nacer, total (años)",1988,65.454
Brasil,"Esperanza de vida al nacer, mujeres (años)",1988,68.091
Brasil,"Esperanza de vida al nacer, varones (años)",1988,62.929
Burkina Faso,"Esperanza de vida al nacer, total (años)",1988,49.132
Burkina Faso,"Esperanza de vida al nacer, mujeres (años)",1988,50.031
Burkina Faso,"Esperanza de vida al nacer, varones (años)",1988,48.178
China,"Esperanza de vida al nacer, total (años)",1988,67.581
China,"Esperanza de vida al nacer, mujeres (años)",1988,70.094
China,"Esperanza de vida al nacer, varones (años)",1988,65.202
Canadá,"Esperanza de vida al nacer, total (años)",1988,76.8588
Canadá,"Esperanza de vida al nacer, mujeres (años)",1988,80.27
Canadá,"Esperanza de vida al nacer, varones (años)",1988,73.61
Camboya,"Esperanza de vida al nacer, total (años)",1988,54.276
Camboya,"Esperanza de vida al nacer, mujeres (años)",1988,56.569
Camboya,"Esperanza de vida al nacer, varones (años)",1988,51.679
Chad,"Esperanza de vida al nacer, total (años)",1988,45.785
Chad,"Esperanza de vida al nacer, mujeres (años)",1988,47.494
Chad,"Esperanza de vida al nacer, varones (años)",1988,44.081
Dinamarca,"Esperanza de vida al nacer, total (años)",1988,74.7717
Dinamarca,"Esperanza de vida al nacer, mujeres (años)",1988,77.64
Dinamarca,"Esperanza de vida al nacer, varones (años)",1988,72.04
Ecuador,"Esperanza de vida al nacer, total (años)",1988,68.056
Ecuador,"Esperanza de vida al nacer, mujeres (años)",1988,71.0
Ecuador,"Esperanza de vida al nacer, varones (años)",1988,65.244
Emiratos Árabes Unidos,"Esperanza de vida al nacer, total (años)",1988,71.606
Emiratos Árabes Unidos,"Esperanza de vida al nacer, mujeres (años)",1988,74.648
Emiratos Árabes Unidos,"Esperanza de vida al nacer, varones (años)",1988,69.907
"Egipto, República Árabe de","Esperanza de vida al nacer, total (años)",1988,62.98
"Egipto, República Árabe de","Esperanza de vida al nacer, mujeres (años)",1988,64.889
"Egipto, República Árabe de","Esperanza de vida al nacer, varones (años)",1988,60.984
Cuba,"Esperanza de vida al nacer, total (años)",1988,73.913
Cuba,"Esperanza de vida al nacer, mujeres (años)",1988,76.058
Cuba,"Esperanza de vida al nacer, varones (años)",1988,71.959
Costa Rica,"Esperanza de vida al nacer, total (años)",1988,76.106
Costa Rica,"Esperanza de vida al nacer, mujeres (años)",1988,78.129
Costa Rica,"Esperanza de vida al nacer, varones (años)",1988,74.186
Estados Unidos,"Esperanza de vida al nacer, total (años)",1988,74.7659
Estados Unidos,"Esperanza de vida al nacer, mujeres (años)",1988,78.3
Estados Unidos,"Esperanza de vida al nacer, varones (años)",1988,71.4
España,"Esperanza de vida al nacer, total (años)",1988,76.7471
España,"Esperanza de vida al nacer, mujeres (años)",1988,80.23
España,"Esperanza de vida al nacer, varones (años)",1988,73.43
Fiji,"Esperanza de vida al nacer, total (años)",1988,65.149
Fiji,"Esperanza de vida al nacer, mujeres (años)",1988,67.98
Fiji,"Esperanza de vida al nacer, varones (años)",1988,62.791
Finlandia,"Esperanza de vida al nacer, total (años)",1988,74.5771
Finlandia,"Esperanza de vida al nacer, mujeres (años)",1988,78.69
Finlandia,"Esperanza de vida al nacer, varones (años)",1988,70.66
Federación de Rusia,"Esperanza de vida al nacer, total (años)",1988,69.4644
Federación de Rusia,"Esperanza de vida al nacer, mujeres (años)",1988,74.53
Federación de Rusia,"Esperanza de vida al nacer, varones (años)",1988,64.64
Grecia,"Esperanza de vida al nacer, total (años)",1988,76.9808
Grecia,"Esperanza de vida al nacer, mujeres (años)",1988,79.637
Grecia,"Esperanza de vida al nacer, varones (años)",1988,74.451
India,"Esperanza de vida al nacer, total (años)",1988,57.777
India,"Esperanza de vida al nacer, mujeres (años)",1988,58.546
India,"Esperanza de vida al nacer, varones (años)",1988,57.113
Marruecos,"Esperanza de vida al nacer, total (años)",1988,61.32
Marruecos,"Esperanza de vida al nacer, mujeres (años)",1988,62.864
Marruecos,"Esperanza de vida al nacer, varones (años)",1988,59.858
México,"Esperanza de vida al nacer, total (años)",1988,69.253
México,"Esperanza de vida al nacer, mujeres (años)",1988,72.862
México,"Esperanza de vida al nacer, varones (años)",1988,65.877
Nepal,"Esperanza de vida al nacer, total (años)",1988,53.071
Nepal,"Esperanza de vida al nacer, mujeres (años)",1988,52.979
Nepal,"Esperanza de vida al nacer, varones (años)",1988,53.099
Níger,"Esperanza de vida al nacer, total (años)",1988,40.79
Níger,"Esperanza de vida al nacer, mujeres (años)",1988,40.809
Níger,"Esperanza de vida al nacer, varones (años)",1988,40.677
Países Bajos,"Esperanza de vida al nacer, total (años)",1988,76.8902
Países Bajos,"Esperanza de vida al nacer, mujeres (años)",1988,80.24
Países Bajos,"Esperanza de vida al nacer, varones (años)",1988,73.7
Nueva Zelandia,"Esperanza de vida al nacer, total (años)",1988,74.4244
Nueva Zelandia,"Esperanza de vida al nacer, mujeres (años)",1988,77.6
Nueva Zelandia,"Esperanza de vida al nacer, varones (años)",1988,71.4
Reino Unido,"Esperanza de vida al nacer, total (años)",1988,75.3805
Reino Unido,"Esperanza de vida al nacer, mujeres (años)",1988,78.3
Reino Unido,"Esperanza de vida al nacer, varones (años)",1988,72.6
Rwanda,"Esperanza de vida al nacer, total (años)",1988,50.976
Rwanda,"Esperanza de vida al nacer, mujeres (años)",1988,52.678
Rwanda,"Esperanza de vida al nacer, varones (años)",1988,49.355
Samoa,"Esperanza de vida al nacer, total (años)",1988,67.188
Samoa,"Esperanza de vida al nacer, mujeres (años)",1988,70.747
Samoa,"Esperanza de vida al nacer, varones (años)",1988,64.363
Sierra Leona,"Esperanza de vida al nacer, total (años)",1988,44.047
Sierra Leona,"Esperanza de vida al nacer, mujeres (años)",1988,45.186
Sierra Leona,"Esperanza de vida al nacer, varones (años)",1988,42.901
Sudáfrica,"Esperanza de vida al nacer, total (años)",1988,63.345
Sudáfrica,"Esperanza de vida al nacer, mujeres (años)",1988,66.475
Sudáfrica,"Esperanza de vida al nacer, varones (años)",1988,60.115
Singapur,"Esperanza de vida al nacer, total (años)",1988,74.6976
Singapur,"Esperanza de vida al nacer, mujeres (años)",1988,76.9
Singapur,"Esperanza de vida al nacer, varones (años)",1988,72.6
Suiza,"Esperanza de vida al nacer, total (años)",1988,77.2266
Suiza,"Esperanza de vida al nacer, mujeres (años)",1988,80.73
Suiza,"Esperanza de vida al nacer, varones (años)",1988,73.89
Venezuela,"Esperanza de vida al nacer, total (años)",1988,71.252
Venezuela,"Esperanza de vida al nacer, mujeres (años)",1988,73.638
Venezuela,"Esperanza de vida al nacer, varones (años)",1988,68.967
Colombia,"Esperanza de vida al nacer, total (años)",1988,68.391
Colombia,"Esperanza de vida al nacer, mujeres (años)",1988,72.44
Colombia,"Esperanza de vida al nacer, varones (años)",1988,64.605
Japón,"Esperanza de vida al nacer, total (años)",1988,78.3498
Japón,"Esperanza de vida al nacer, mujeres (años)",1988,81.3
Japón,"Esperanza de vida al nacer, varones (años)",1988,75.54
Kenya,"Esperanza de vida al nacer, total (años)",1988,59.539
Kenya,"Esperanza de vida al nacer, mujeres (años)",1988,61.214
Kenya,"Esperanza de vida al nacer, varones (años)",1988,57.826
Noruega,"Esperanza de vida al nacer, total (años)",1988,76.2205
Noruega,"Esperanza de vida al nacer, mujeres (años)",1988,79.56
Noruega,"Esperanza de vida al nacer, varones (años)",1988,73.04
Afganistán,"Esperanza de vida al nacer, total (años)",1989,45.158
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1989,47.61
Afganistán,"Esperanza de vida al nacer, varones (años)",1989,42.891
Alemania,"Esperanza de vida al nacer, total (años)",1989,75.1915
Alemania,"Esperanza de vida al nacer, mujeres (años)",1989,78.466
Alemania,"Esperanza de vida al nacer, varones (años)",1989,72.073
Argelia,"Esperanza de vida al nacer, total (años)",1989,67.085
Argelia,"Esperanza de vida al nacer, mujeres (años)",1989,68.102
Argelia,"Esperanza de vida al nacer, varones (años)",1989,66.064
Arabia Saudita,"Esperanza de vida al nacer, total (años)",1989,68.491
Arabia Saudita,"Esperanza de vida al nacer, mujeres (años)",1989,70.383
Arabia Saudita,"Esperanza de vida al nacer, varones (años)",1989,67.166
Argentina,"Esperanza de vida al nacer, total (años)",1989,71.425
Argentina,"Esperanza de vida al nacer, mujeres (años)",1989,74.735
Argentina,"Esperanza de vida al nacer, varones (años)",1989,68.09
Australia,"Esperanza de vida al nacer, total (años)",1989,76.7137
Australia,"Esperanza de vida al nacer, mujeres (años)",1989,79.92
Australia,"Esperanza de vida al nacer, varones (años)",1989,73.66
Austria,"Esperanza de vida al nacer, total (años)",1989,75.2659
Austria,"Esperanza de vida al nacer, mujeres (años)",1989,78.8
Austria,"Esperanza de vida al nacer, varones (años)",1989,71.9
Brasil,"Esperanza de vida al nacer, total (años)",1989,65.868
Brasil,"Esperanza de vida al nacer, mujeres (años)",1989,68.532
Brasil,"Esperanza de vida al nacer, varones (años)",1989,63.315
Burkina Faso,"Esperanza de vida al nacer, total (años)",1989,49.174
Burkina Faso,"Esperanza de vida al nacer, mujeres (años)",1989,50.065
Burkina Faso,"Esperanza de vida al nacer, varones (años)",1989,48.225
China,"Esperanza de vida al nacer, total (años)",1989,67.838
China,"Esperanza de vida al nacer, mujeres (años)",1989,70.331
China,"Esperanza de vida al nacer, varones (años)",1989,65.478
Canadá,"Esperanza de vida al nacer, total (años)",1989,77.1249
Canadá,"Esperanza de vida al nacer, mujeres (años)",1989,80.49
Canadá,"Esperanza de vida al nacer, varones (años)",1989,73.92
Camboya,"Esperanza de vida al nacer, total (años)",1989,54.798
Camboya,"Esperanza de vida al nacer, mujeres (años)",1989,57.466
Camboya,"Esperanza de vida al nacer, varones (años)",1989,51.808
Chad,"Esperanza de vida al nacer, total (años)",1989,45.875
Chad,"Esperanza de vida al nacer, mujeres (años)",1989,47.738
Chad,"Esperanza de vida al nacer, varones (años)",1989,44.033
Dinamarca,"Esperanza de vida al nacer, total (años)",1989,74.7998
Dinamarca,"Esperanza de vida al nacer, mujeres (años)",1989,77.75
Dinamarca,"Esperanza de vida al nacer, varones (años)",1989,71.99
Ecuador,"Esperanza de vida al nacer, total (años)",1989,68.749
Ecuador,"Esperanza de vida al nacer, mujeres (años)",1989,71.825
Ecuador,"Esperanza de vida al nacer, varones (años)",1989,65.809
Emiratos Árabes Unidos,"Esperanza de vida al nacer, total (años)",1989,71.757
Emiratos Árabes Unidos,"Esperanza de vida al nacer, mujeres (años)",1989,74.788
Emiratos Árabes Unidos,"Esperanza de vida al nacer, varones (años)",1989,70.09
"Egipto, República Árabe de","Esperanza de vida al nacer, total (años)",1989,63.628
"Egipto, República Árabe de","Esperanza de vida al nacer, mujeres (años)",1989,65.326
"Egipto, República Árabe de","Esperanza de vida al nacer, varones (años)",1989,61.831
Cuba,"Esperanza de vida al nacer, total (años)",1989,73.981
Cuba,"Esperanza de vida al nacer, mujeres (años)",1989,76.179
Cuba,"Esperanza de vida al nacer, varones (años)",1989,71.975
Costa Rica,"Esperanza de vida al nacer, total (años)",1989,76.263
Costa Rica,"Esperanza de vida al nacer, mujeres (años)",1989,78.537
Costa Rica,"Esperanza de vida al nacer, varones (años)",1989,74.129
Estados Unidos,"Esperanza de vida al nacer, total (años)",1989,75.0171
Estados Unidos,"Esperanza de vida al nacer, mujeres (años)",1989,78.5
Estados Unidos,"Esperanza de vida al nacer, varones (años)",1989,71.7
España,"Esperanza de vida al nacer, total (años)",1989,76.8137
España,"Esperanza de vida al nacer, mujeres (años)",1989,80.44
España,"Esperanza de vida al nacer, varones (años)",1989,73.36
Fiji,"Esperanza de vida al nacer, total (años)",1989,65.277
Fiji,"Esperanza de vida al nacer, mujeres (años)",1989,68.026
Fiji,"Esperanza de vida al nacer, varones (años)",1989,62.958
Finlandia,"Esperanza de vida al nacer, total (años)",1989,74.7922
Finlandia,"Esperanza de vida al nacer, mujeres (años)",1989,78.9
Finlandia,"Esperanza de vida al nacer, varones (años)",1989,70.88
Federación de Rusia,"Esperanza de vida al nacer, total (años)",1989,69.1717
Federación de Rusia,"Esperanza de vida al nacer, mujeres (años)",1989,74.35
Federación de Rusia,"Esperanza de vida al nacer, varones (años)",1989,64.24
Grecia,"Esperanza de vida al nacer, total (años)",1989,76.6878
Grecia,"Esperanza de vida al nacer, mujeres (años)",1989,79.3
Grecia,"Esperanza de vida al nacer, varones (años)",1989,74.2
India,"Esperanza de vida al nacer, total (años)",1989,58.233
India,"Esperanza de vida al nacer, mujeres (años)",1989,59.064
India,"Esperanza de vida al nacer, varones (años)",1989,57.511
Marruecos,"Esperanza de vida al nacer, total (años)",1989,61.899
Marruecos,"Esperanza de vida al nacer, mujeres (años)",1989,63.464
Marruecos,"Esperanza de vida al nacer, varones (años)",1989,60.417
México,"Esperanza de vida al nacer, total (años)",1989,69.623
México,"Esperanza de vida al nacer, mujeres (años)",1989,73.259
México,"Esperanza de vida al nacer, varones (años)",1989,66.221
Nepal,"Esperanza de vida al nacer, total (años)",1989,54.127
Nepal,"Esperanza de vida al nacer, mujeres (años)",1989,54.119
Nepal,"Esperanza de vida al nacer, varones (años)",1989,54.08
Níger,"Esperanza de vida al nacer, total (años)",1989,41.221
Níger,"Esperanza de vida al nacer, mujeres (años)",1989,41.311
Níger,"Esperanza de vida al nacer, varones (años)",1989,41.032
Países Bajos,"Esperanza de vida al nacer, total (años)",1989,76.7341
Países Bajos,"Esperanza de vida al nacer, mujeres (años)",1989,79.92
Países Bajos,"Esperanza de vida al nacer, varones (años)",1989,73.7
Nueva Zelandia,"Esperanza de vida al nacer, total (años)",1989,74.8244
Nueva Zelandia,"Esperanza de vida al nacer, mujeres (años)",1989,78.0
Nueva Zelandia,"Esperanza de vida al nacer, varones (años)",1989,71.8
Reino Unido,"Esperanza de vida al nacer, total (años)",1989,75.5829
Reino Unido,"Esperanza de vida al nacer, mujeres (años)",1989,78.4
Reino Unido,"Esperanza de vida al nacer, varones (años)",1989,72.9
Rwanda,"Esperanza de vida al nacer, total (años)",1989,50.22
Rwanda,"Esperanza de vida al nacer, mujeres (años)",1989,51.744
Rwanda,"Esperanza de vida al nacer, varones (años)",1989,48.763
Samoa,"Esperanza de vida al nacer, total (años)",1989,67.471
Samoa,"Esperanza de vida al nacer, mujeres (años)",1989,70.985
Samoa,"Esperanza de vida al nacer, varones (años)",1989,64.648
Sierra Leona,"Esperanza de vida al nacer, total (años)",1989,44.021
Sierra Leona,"Esperanza de vida al nacer, mujeres (años)",1989,45.096
Sierra Leona,"Esperanza de vida al nacer, varones (años)",1989,42.935
Sudáfrica,"Esperanza de vida al nacer, total (años)",1989,63.31
Sudáfrica,"Esperanza de vida al nacer, mujeres (años)",1989,66.356
Sudáfrica,"Esperanza de vida al nacer, varones (años)",1989,60.143
Singapur,"Esperanza de vida al nacer, total (años)",1989,74.9463
Singapur,"Esperanza de vida al nacer, mujeres (años)",1989,77.2
Singapur,"Esperanza de vida al nacer, varones (años)",1989,72.8
Suiza,"Esperanza de vida al nacer, total (años)",1989,77.4212
Suiza,"Esperanza de vida al nacer, mujeres (años)",1989,80.94
Suiza,"Esperanza de vida al nacer, varones (años)",1989,74.07
Venezuela,"Esperanza de vida al nacer, total (años)",1989,71.348
Venezuela,"Esperanza de vida al nacer, mujeres (años)",1989,73.912
Venezuela,"Esperanza de vida al nacer, varones (años)",1989,68.906
Colombia,"Esperanza de vida al nacer, total (años)",1989,68.533
Colombia,"Esperanza de vida al nacer, mujeres (años)",1989,72.781
Colombia,"Esperanza de vida al nacer, varones (años)",1989,64.576
Japón,"Esperanza de vida al nacer, total (años)",1989,78.7685
Japón,"Esperanza de vida al nacer, mujeres (años)",1989,81.77
Japón,"Esperanza de vida al nacer, varones (años)",1989,75.91
Kenya,"Esperanza de vida al nacer, total (años)",1989,59.04
Kenya,"Esperanza de vida al nacer, mujeres (años)",1989,60.699
Kenya,"Esperanza de vida al nacer, varones (años)",1989,57.337
Noruega,"Esperanza de vida al nacer, total (años)",1989,76.5005
Noruega,"Esperanza de vida al nacer, mujeres (años)",1989,79.84
Noruega,"Esperanza de vida al nacer, varones (años)",1989,73.32
Afganistán,"Esperanza de vida al nacer, total (años)",1990,45.967
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1990,48.397
Afganistán,"Esperanza de vida al nacer, varones (años)",1990,43.709
Alemania,"Esperanza de vida al nacer, total (años)",1990,75.0856
Alemania,"Esperanza de vida al nacer, mujeres (años)",1990,78.419
Alemania,"Esperanza de vida al nacer, varones (años)",1990,71.911
Argelia,"Esperanza de vida al nacer, total (años)",1990,67.416
Argelia,"Esperanza de vida al nacer, mujeres (años)",1990,68.517
Argelia,"Esperanza de vida al nacer, varones (años)",1990,66.313
Arabia Saudita,"Esperanza de vida al nacer, total (años)",1990,68.948
Arabia Saudita,"Esperanza de vida al nacer, mujeres (años)",1990,70.712
Arabia Saudita,"Esperanza de vida al nacer, varones (años)",1990,67.724
Argentina,"Esperanza de vida al nacer, total (años)",1990,71.784
Argentina,"Esperanza de vida al nacer, mujeres (años)",1990,74.963
Argentina,"Esperanza de vida al nacer, varones (años)",1990,68.552
Australia,"Esperanza de vida al nacer, total (años)",1990,76.9946
Australia,"Esperanza de vida al nacer, mujeres (años)",1990,80.16
Australia,"Esperanza de vida al nacer, varones (años)",1990,73.98
Austria,"Esperanza de vida al nacer, total (años)",1990,75.5683
Austria,"Esperanza de vida al nacer, mujeres (años)",1990,79.0
Austria,"Esperanza de vida al nacer, varones (años)",1990,72.3
Brasil,"Esperanza de vida al nacer, total (años)",1990,65.985
Brasil,"Esperanza de vida al nacer, mujeres (años)",1990,69.041
