país,factor_(serie),Año,Valor
Camboya,Gasto de bolsillo per cápita (US$ actuales),1987,33.9236619047619
Camboya,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,37.5127
Chad,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,7.204238095238095
Chad,Gasto de bolsillo per cápita (US$ actuales),1987,18.952361904761904
Chad,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,20.3606
Dinamarca,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,4494.947240909091
Dinamarca,Gasto de bolsillo per cápita (US$ actuales),1987,738.0393227272727
Dinamarca,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,846.8881272727272
Ecuador,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,153.39195238095238
Ecuador,Gasto de bolsillo per cápita (US$ actuales),1987,122.45661904761904
Ecuador,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,140.48085238095237
Emiratos Árabes Unidos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,856.5632190476191
Emiratos Árabes Unidos,Gasto de bolsillo per cápita (US$ actuales),1987,249.96917142857143
Emiratos Árabes Unidos,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,477.64606190476195
"Egipto, República Árabe de",Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,33.51206666666667
"Egipto, República Árabe de",Gasto de bolsillo per cápita (US$ actuales),1987,63.974171428571424
"Egipto, República Árabe de",Gasto interno privado en salud per cápita (US$ a precios actuales),1987,71.39645714285714
Cuba,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,559.2024
Cuba,Gasto de bolsillo per cápita (US$ actuales),1987,70.23637142857143
Cuba,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,70.23637142857143
Costa Rica,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,425.92859999999996
Costa Rica,Gasto de bolsillo per cápita (US$ actuales),1987,150.98631904761905
Costa Rica,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,176.69558571428573
Estados Unidos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3859.517180952381
Estados Unidos,Gasto de bolsillo per cápita (US$ actuales),1987,974.3015142857142
Estados Unidos,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,3973.752752380952
España,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,1675.9374857142857
España,Gasto de bolsillo per cápita (US$ actuales),1987,502.1264523809524
España,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,651.0275857142857
Fiji,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,94.25828571428572
Fiji,Gasto de bolsillo per cápita (US$ actuales),1987,24.695038095238097
Fiji,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,39.89297142857143
Finlandia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3008.041695238095
Finlandia,Gasto de bolsillo per cápita (US$ actuales),1987,710.4102714285715
Finlandia,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,810.8462380952382
Federación de Rusia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,296.0573904761905
Federación de Rusia,Gasto de bolsillo per cápita (US$ actuales),1987,165.9586095238095
Federación de Rusia,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,183.81980476190478
Grecia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,1104.0007095238095
Grecia,Gasto de bolsillo per cápita (US$ actuales),1987,617.5511
Grecia,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,711.5203285714285
India,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,11.108814285714285
India,Gasto de bolsillo per cápita (US$ actuales),1987,26.663285714285713
India,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,30.25137619047619
Marruecos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,53.006299999999996
Marruecos,Gasto de bolsillo per cápita (US$ actuales),1987,71.98580476190476
Marruecos,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,84.8078380952381
México,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,246.41723333333331
México,Gasto de bolsillo per cápita (US$ actuales),1987,234.4169619047619
México,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,263.418819047619
Nepal,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,6.032428571428572
Nepal,Gasto de bolsillo per cápita (US$ actuales),1987,16.780861904761906
Nepal,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,19.165857142857142
Níger,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,6.365495238095238
Níger,Gasto de bolsillo per cápita (US$ actuales),1987,11.578261904761904
Níger,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,12.520219047619047
Países Bajos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3053.6734619047616
Países Bajos,Gasto de bolsillo per cápita (US$ actuales),1987,456.9237619047619
Países Bajos,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,1468.3983333333333
Nueva Zelandia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,2274.0161476190474
Nueva Zelandia,Gasto de bolsillo per cápita (US$ actuales),1987,384.96901428571425
Nueva Zelandia,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,690.2301380952381
Reino Unido,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3069.5029476190475
Reino Unido,Gasto de bolsillo per cápita (US$ actuales),1987,576.9184095238095
Reino Unido,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,734.4315761904761
Rwanda,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,11.249266666666667
Rwanda,Gasto de bolsillo per cápita (US$ actuales),1987,4.8647857142857145
Rwanda,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,9.297085714285714
Samoa,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,121.27991904761905
Samoa,Gasto de bolsillo per cápita (US$ actuales),1987,20.192766666666664
Samoa,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,21.64851428571429
Sierra Leona,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,5.532328571428572
Sierra Leona,Gasto de bolsillo per cápita (US$ actuales),1987,29.384961904761905
Sierra Leona,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,30.4580619047619
Sudáfrica,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,235.85677619047618
Sudáfrica,Gasto de bolsillo per cápita (US$ actuales),1987,37.632038095238094
Sudáfrica,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,206.10933333333335
Singapur,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,717.6240476190476
Singapur,Gasto de bolsillo per cápita (US$ actuales),1987,604.1685095238096
Singapur,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,951.0763238095238
Suiza,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,2390.9282619047617
Suiza,Gasto de bolsillo per cápita (US$ actuales),1987,1977.9282333333333
Suiza,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,5086.4719
Venezuela,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,215.08582380952382
Venezuela,Gasto de bolsillo per cápita (US$ actuales),1987,164.10497619047618
Venezuela,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,274.19580476190475
Colombia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,265.8628333333333
Colombia,Gasto de bolsillo per cápita (US$ actuales),1987,59.56955238095239
Colombia,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,105.15956190476192
Japón,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3018.207638095238
Japón,Gasto de bolsillo per cápita (US$ actuales),1987,513.8053714285714
Japón,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,631.2838238095238
Kenya,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,19.009280952380955
Kenya,Gasto de bolsillo per cápita (US$ actuales),1987,16.61138095238095
Kenya,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,22.982057142857144
Noruega,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,5886.812004545455
Noruega,Gasto de bolsillo per cápita (US$ actuales),1987,1049.0970772727271
Noruega,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,1070.962068181818
Afganistán,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,2.46361
Afganistán,Gasto de bolsillo per cápita (US$ actuales),1988,37.732205
Afganistán,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,37.80017
Alemania,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3312.234576190476
Alemania,Gasto de bolsillo per cápita (US$ actuales),1988,581.818380952381
Alemania,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,1012.6097714285713
Argelia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,140.64696190476192
Argelia,Gasto de bolsillo per cápita (US$ actuales),1988,57.970419047619046
Argelia,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,61.20041428571428
Arabia Saudita,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,524.8199789473684
Arabia Saudita,Gasto de bolsillo per cápita (US$ actuales),1988,119.28836842105262
Arabia Saudita,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,230.47056315789473
Argentina,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,537.2746285714286
Argentina,Gasto de bolsillo per cápita (US$ actuales),1988,242.2972714285714
Argentina,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,338.817380952381
Australia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3110.275166666667
Australia,Gasto de bolsillo per cápita (US$ actuales),1988,781.6286857142857
Australia,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,1221.0749714285714
Austria,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3203.608552380952
Austria,Gasto de bolsillo per cápita (US$ actuales),1988,813.5738142857143
Austria,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,1168.0069476190477
Brasil,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,288.9528619047619
Brasil,Gasto de bolsillo per cápita (US$ actuales),1988,192.88300476190477
Brasil,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,379.5422952380953
Burkina Faso,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,9.894542857142858
Burkina Faso,Gasto de bolsillo per cápita (US$ actuales),1988,9.542680952380952
Burkina Faso,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,11.18
China,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,129.14010476190475
China,Gasto de bolsillo per cápita (US$ actuales),1988,94.82004285714285
China,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,112.74772380952379
Canadá,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3061.9016181818183
Canadá,Gasto de bolsillo per cápita (US$ actuales),1988,641.2424818181818
Canadá,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,1244.6263727272728
Camboya,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,12.383047619047618
Camboya,Gasto de bolsillo per cápita (US$ actuales),1988,33.9236619047619
Camboya,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,37.5127
Chad,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,7.204238095238095
Chad,Gasto de bolsillo per cápita (US$ actuales),1988,18.952361904761904
Chad,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,20.3606
Dinamarca,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,4494.947240909091
Dinamarca,Gasto de bolsillo per cápita (US$ actuales),1988,738.0393227272727
Dinamarca,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,846.8881272727272
Ecuador,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,153.39195238095238
Ecuador,Gasto de bolsillo per cápita (US$ actuales),1988,122.45661904761904
Ecuador,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,140.48085238095237
Emiratos Árabes Unidos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,856.5632190476191
Emiratos Árabes Unidos,Gasto de bolsillo per cápita (US$ actuales),1988,249.96917142857143
Emiratos Árabes Unidos,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,477.64606190476195
"Egipto, República Árabe de",Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,33.51206666666667
"Egipto, República Árabe de",Gasto de bolsillo per cápita (US$ actuales),1988,63.974171428571424
"Egipto, República Árabe de",Gasto interno privado en salud per cápita (US$ a precios actuales),1988,71.39645714285714
Cuba,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,559.2024
Cuba,Gasto de bolsillo per cápita (US$ actuales),1988,70.23637142857143
Cuba,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,70.23637142857143
Costa Rica,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,425.92859999999996
Costa Rica,Gasto de bolsillo per cápita (US$ actuales),1988,150.98631904761905
Costa Rica,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,176.69558571428573
Estados Unidos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3859.517180952381
Estados Unidos,Gasto de bolsillo per cápita (US$ actuales),1988,974.3015142857142
Estados Unidos,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,3973.752752380952
España,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,1675.9374857142857
España,Gasto de bolsillo per cápita (US$ actuales),1988,502.1264523809524
España,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,651.0275857142857
Fiji,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,94.25828571428572
Fiji,Gasto de bolsillo per cápita (US$ actuales),1988,24.695038095238097
Fiji,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,39.89297142857143
Finlandia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3008.041695238095
Finlandia,Gasto de bolsillo per cápita (US$ actuales),1988,710.4102714285715
Finlandia,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,810.8462380952382
Federación de Rusia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,296.0573904761905
Federación de Rusia,Gasto de bolsillo per cápita (US$ actuales),1988,165.9586095238095
Federación de Rusia,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,183.81980476190478
Grecia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,1104.0007095238095
Grecia,Gasto de bolsillo per cápita (US$ actuales),1988,617.5511
Grecia,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,711.5203285714285
India,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,11.108814285714285
India,Gasto de bolsillo per cápita (US$ actuales),1988,26.663285714285713
India,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,30.25137619047619
Marruecos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,53.006299999999996
Marruecos,Gasto de bolsillo per cápita (US$ actuales),1988,71.98580476190476
Marruecos,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,84.8078380952381
México,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,246.41723333333331
México,Gasto de bolsillo per cápita (US$ actuales),1988,234.4169619047619
México,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,263.418819047619
Nepal,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,6.032428571428572
Nepal,Gasto de bolsillo per cápita (US$ actuales),1988,16.780861904761906
Nepal,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,19.165857142857142
Níger,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,6.365495238095238
Níger,Gasto de bolsillo per cápita (US$ actuales),1988,11.578261904761904
Níger,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,12.520219047619047
Países Bajos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3053.6734619047616
Países Bajos,Gasto de bolsillo per cápita (US$ actuales),1988,456.9237619047619
Países Bajos,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,1468.3983333333333
Nueva Zelandia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,2274.0161476190474
Nueva Zelandia,Gasto de bolsillo per cápita (US$ actuales),1988,384.96901428571425
Nueva Zelandia,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,690.2301380952381
Reino Unido,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3069.5029476190475
Reino Unido,Gasto de bolsillo per cápita (US$ actuales),1988,576.9184095238095
Reino Unido,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,734.4315761904761
Rwanda,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,11.249266666666667
Rwanda,Gasto de bolsillo per cápita (US$ actuales),1988,4.8647857142857145
Rwanda,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,9.297085714285714
Samoa,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,121.27991904761905
Samoa,Gasto de bolsillo per cápita (US$ actuales),1988,20.192766666666664
Samoa,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,21.64851428571429
Sierra Leona,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,5.532328571428572
Sierra Leona,Gasto de bolsillo per cápita (US$ actuales),1988,29.384961904761905
Sierra Leona,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,30.4580619047619
Sudáfrica,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,235.85677619047618
Sudáfrica,Gasto de bolsillo per cápita (US$ actuales),1988,37.632038095238094
Sudáfrica,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,206.10933333333335
Singapur,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,717.6240476190476
Singapur,Gasto de bolsillo per cápita (US$ actuales),1988,604.1685095238096
Singapur,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,951.0763238095238
Suiza,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,2390.9282619047617
Suiza,Gasto de bolsillo per cápita (US$ actuales),1988,1977.9282333333333
Suiza,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,5086.4719
Venezuela,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,215.08582380952382
Venezuela,Gasto de bolsillo per cápita (US$ actuales),1988,164.10497619047618
Venezuela,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,274.19580476190475
Colombia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,265.8628333333333
Colombia,Gasto de bolsillo per cápita (US$ actuales),1988,59.56955238095239
Colombia,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,105.15956190476192
Japón,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,3018.207638095238
Japón,Gasto de bolsillo per cápita (US$ actuales),1988,513.8053714285714
Japón,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,631.2838238095238
Kenya,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,19.009280952380955
Kenya,Gasto de bolsillo per cápita (US$ actuales),1988,16.61138095238095
Kenya,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,22.982057142857144
Noruega,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1988,5886.812004545455
Noruega,Gasto de bolsillo per cápita (US$ actuales),1988,1049.0970772727271
Noruega,Gasto interno privado en salud per cápita (US$ a precios actuales),1988,1070.962068181818
Afganistán,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,2.46361
Afganistán,Gasto de bolsillo per cápita (US$ actuales),1989,37.732205
Afganistán,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,37.80017
Alemania,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,3312.234576190476
Alemania,Gasto de bolsillo per cápita (US$ actuales),1989,581.818380952381
Alemania,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,1012.6097714285713
Argelia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,140.64696190476192
Argelia,Gasto de bolsillo per cápita (US$ actuales),1989,57.970419047619046
Argelia,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,61.20041428571428
Arabia Saudita,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,524.8199789473684
Arabia Saudita,Gasto de bolsillo per cápita (US$ actuales),1989,119.28836842105262
Arabia Saudita,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,230.47056315789473
Argentina,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,537.2746285714286
Argentina,Gasto de bolsillo per cápita (US$ actuales),1989,242.2972714285714
Argentina,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,338.817380952381
Australia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,3110.275166666667
Australia,Gasto de bolsillo per cápita (US$ actuales),1989,781.6286857142857
Australia,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,1221.0749714285714
Austria,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,3203.608552380952
Austria,Gasto de bolsillo per cápita (US$ actuales),1989,813.5738142857143
Austria,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,1168.0069476190477
Brasil,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,288.9528619047619
Brasil,Gasto de bolsillo per cápita (US$ actuales),1989,192.88300476190477
Brasil,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,379.5422952380953
Burkina Faso,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,9.894542857142858
Burkina Faso,Gasto de bolsillo per cápita (US$ actuales),1989,9.542680952380952
Burkina Faso,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,11.18
China,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,129.14010476190475
China,Gasto de bolsillo per cápita (US$ actuales),1989,94.82004285714285
China,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,112.74772380952379
Canadá,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,3061.9016181818183
Canadá,Gasto de bolsillo per cápita (US$ actuales),1989,641.2424818181818
Canadá,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,1244.6263727272728
Camboya,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,12.383047619047618
Camboya,Gasto de bolsillo per cápita (US$ actuales),1989,33.9236619047619
Camboya,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,37.5127
Chad,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,7.204238095238095
Chad,Gasto de bolsillo per cápita (US$ actuales),1989,18.952361904761904
Chad,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,20.3606
Dinamarca,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,4494.947240909091
Dinamarca,Gasto de bolsillo per cápita (US$ actuales),1989,738.0393227272727
Dinamarca,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,846.8881272727272
Ecuador,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,153.39195238095238
Ecuador,Gasto de bolsillo per cápita (US$ actuales),1989,122.45661904761904
Ecuador,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,140.48085238095237
Emiratos Árabes Unidos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,856.5632190476191
Emiratos Árabes Unidos,Gasto de bolsillo per cápita (US$ actuales),1989,249.96917142857143
Emiratos Árabes Unidos,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,477.64606190476195
"Egipto, República Árabe de",Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,33.51206666666667
"Egipto, República Árabe de",Gasto de bolsillo per cápita (US$ actuales),1989,63.974171428571424
"Egipto, República Árabe de",Gasto interno privado en salud per cápita (US$ a precios actuales),1989,71.39645714285714
Cuba,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,559.2024
Cuba,Gasto de bolsillo per cápita (US$ actuales),1989,70.23637142857143
Cuba,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,70.23637142857143
Costa Rica,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,425.92859999999996
Costa Rica,Gasto de bolsillo per cápita (US$ actuales),1989,150.98631904761905
Costa Rica,Gasto interno privado en salud per cápita (US$ a precios actuales),1989,176.69558571428573
Estados Unidos,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1989,3859.517180952381
Estados Unidos,Gasto de bolsillo per cápita (US$ actuales),1989,974.3015142857142
