Pais,Continente,GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %)
Russian Federation,Asia,11266.3087890625,7.699937486779331,4.221622316031614,71.77951219512195,-0.12413338117050013,0.14912550799577745,0.7459999995579424,0.08244405976709371
Rwanda,Africa,785.337700228691,3.879376983478155,4.155051077407063,66.295,2.414619846474266,0.030596000752582998,0.17329798901415064,3.0061574131426516
Samoa,Oceania,4131.814717047286,0.7443769469404674,1.6987948971417441,72.5836,1.2466680050013415,0.049386853173497516,0.18076497955061208,0.21499734308841187
Saudi Arabia,Asia,22610.10184544324,5.2506364892834245,1.2070723632098666,76.9702,1.4619438456297567,0.023767380355163386,0.840651999768349,1.7256624156131117
Sierra Leone,Africa,501.7533063861826,9.655163503011154,0.0,59.705600000000004,2.331897252119636,0.031418660025264986,0.4249399893692276,3.3458265944772423
Singapore,Asia,66611.19659128242,2.4592132587455753,0.740616784226345,83.57902439024392,-0.5559316371660511,0.1222290989617975,1.0,-0.5559316371660443
South Africa,Africa,6653.690887399524,5.153758002919564,4.3286731796500195,64.9688,1.0259964208799253,0.059028324014240074,0.6685239980056081,1.778705516476056
Spain,Europa,29041.950040218282,1.503732662654254,1.4201917598401255,83.21121951219513,0.396899016755288,0.19483929314183698,0.8056639960233583,0.6992117408749625
Switzerland,Europa,85848.17480669965,0.1222469476360224,0.337789743811322,83.61219512195122,0.7732343629080938,0.18557251965195684,0.7386360161554176,0.8428188938274868
United Arab Emirates,Asia,43421.42707777562,2.3956152352776057,0.0,79.3026,0.8081577864112928,0.014221802584295501,0.8678119954448272,1.116133862221516
United Kingdom,Europa,42716.07852814262,2.3184303410501967,2.019311615963304,80.99365853658536,0.4266535356871305,0.18526985067244336,0.8364960005106414,0.7298238891022236
United States,América del Norte,64319.913023762616,2.379060708095022,2.4632693271583443,77.85512195121952,0.5471111263107048,0.1583161684843837,0.8246200001632362,0.7925994058881716
Venezuela,Sudamérica,6084.479996093274,35.0631193204545,0.0,71.54639999999999,-1.7259020119899315,0.07605981690619702,0.8824700019863091,-1.6896391401869622
