país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,CHN,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,9.448,10.2142,12.7324,16.1141,19.5205,24.0082,29.0939,38.5881,59.7525,81.6527,98.2812,128.801,159.0207,188.1411,212.0537,236.9807,231.7022,249.6963,284.7899,302.0738,319.277,,
China,CHN,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,25.8501,28.6095,31.5231,34.483,37.9313,42.2811,46.3577,50.7156,63.5718,71.8307,77.2523,96.5384,111.9419,125.8429,132.7338,138.1745,143.19,158.834,180.4692,190.1081,202.9819,,
China,CHN,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,33.5347,34.2562,37.3501,40.6057,44.9432,49.128,53.5807,60.1109,74.2463,83.4673,90.832,110.7723,126.1331,141.4571,150.8461,156.7653,167.0805,190.8903,220.0065,237.5421,264.1538,,
Canadá,CAN,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,1458.2485,1496.6257,1556.9672,1866.7211,2130.6698,2403.761,2630.6786,2938.0639,3132.7992,3082.591,3563.2721,3819.3449,3905.0452,3880.1697,3693.3187,3306.7204,3252.9003,3417.3765,3529.8142,3547.4286,4212.7786,4536.5404,
Canadá,CAN,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,332.3813,327.4002,341.9306,389.258,445.8327,505.8045,601.3247,658.3879,695.4349,665.4739,788.89,818.6936,823.429,794.3437,763.0078,683.1092,721.5265,753.0549,768.207,764.3404,698.5312,766.9726,
Canadá,CAN,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,543.4203,559.1341,592.4123,685.5428,785.5818,887.4598,1158.0076,1283.8647,1358.4303,1309.553,1532.8515,1618.507,1636.5319,1604.6379,1538.629,1373.2557,1415.336,1483.2921,1522.8636,1536.297,1406.6373,1549.5345,
Camboya,KHM,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,3.9109,3.8337,4.7828,5.4179,5.6295,5.7983,5.1811,6.1228,7.6045,8.9455,10.6668,11.2668,13.3705,14.4117,13.6136,15.7424,17.0876,21.2571,25.3324,28.017,32.0511,,
Camboya,KHM,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,13.583,14.102,14.9448,15.579,16.3198,19.804,17.2878,15.0732,25.0306,28.1422,28.0818,39.4621,41.7346,44.1534,43.1388,41.5762,45.8871,46.6875,57.4359,74.2171,70.156,,
Camboya,KHM,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,15.4418,17.2014,17.9264,17.171,18.6964,22.0192,21.3138,15.4202,33.3945,37.6857,35.8682,47.4571,42.2662,44.2066,43.2609,42.0139,46.4222,51.5413,62.7518,79.7451,75.963,,
Chad,TCD,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,3.9488,4.1848,5.36,5.8626,9.9855,9.5367,7.1546,8.2852,7.4749,7.5124,7.658,8.1609,9.206,11.2928,12.4641,7.4498,5.7513,4.6527,4.5982,4.7642,5.9855,,
Chad,TCD,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,5.837,6.9925,12.0303,8.8152,14.6078,18.152,22.2675,22.8395,26.2565,23.4234,24.6675,23.5089,22.2838,23.443,24.3367,19.873,20.0099,18.0344,20.7992,19.1205,20.701,,
Chad,TCD,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,6.0779,7.3922,12.663,9.5998,15.6623,19.504,23.9342,24.6825,28.4444,25.5886,26.6706,25.5909,24.2375,25.4986,26.4715,21.619,21.768,19.6189,21.4625,19.7359,21.3503,,
Dinamarca,DNK,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,2074.3991,2170.7522,2426.8539,3026.6644,3504.778,3720.5437,4008.0687,4577.4869,5156.9513,5254.7614,5200.3224,5403.9789,5204.0116,5350.1471,5460.8808,4660.9074,4734.6531,4898.051,5219.8909,5071.8133,5463.4555,6299.4677,
Dinamarca,DNK,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,383.3038,393.4142,426.5056,525.0843,623.8255,653.4941,694.2023,796.2958,866.5188,851.4136,845.9456,894.7715,833.5575,845.4878,862.636,744.5132,760.4894,798.8876,861.6159,835.7818,826.0168,913.104,
Dinamarca,DNK,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,421.6481,431.8908,468.9533,580.3786,690.0952,722.2116,770.823,890.8922,980.8248,966.9278,970.9624,1034.2348,964.3271,984.2684,1006.0169,870.9716,889.676,935.9687,1012.8291,987.0172,974.9375,1075.6837,
Ecuador,ECU,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,13.9429,23.9072,30.8593,40.6731,46.8429,50.7236,60.7219,73.2122,89.4326,100.9746,131.5399,159.4865,195.213,231.4442,262.2959,264.3819,268.4577,283.8845,311.6362,301.0295,280.5714,,
Ecuador,ECU,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,30.729,43.595,61.206,82.3235,91.6171,105.9549,116.1391,105.8528,125.5353,125.7158,134.3898,156.5321,165.7932,156.497,142.1464,166.5559,146.6923,150.4794,151.4621,150.4802,161.8921,,
Ecuador,ECU,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,33.0395,46.1852,65.8164,91.2379,101.8817,116.8866,128.0068,116.974,138.6517,139.5966,147.5154,176.7962,188.0263,179.4157,165.4908,193.8299,173.2325,179.5146,184.9933,185.796,197.2108,,
Emiratos Árabes Unidos,ARE,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,518.3453,572.2263,502.9002,528.7447,520.4719,556.4196,604.1772,661.1425,844.855,946.6499,938.9616,1086.8958,1074.1906,1152.6653,1175.5598,1025.5169,992.4115,946.1766,987.6923,1015.1231,1336.7015,,
Emiratos Árabes Unidos,ARE,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,166.3049,112.0961,230.3176,236.9267,277.1398,295.0338,313.2382,325.3812,332.2889,206.8516,237.8176,253.3961,247.8561,274.7591,294.9455,256.0465,258.6664,197.0783,243.1219,244.3721,245.7142,,
Emiratos Árabes Unidos,ARE,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,234.7302,170.8244,318.4449,334.1586,390.9208,422.4847,450.1557,465.6698,477.0819,338.1132,386.2416,413.9067,406.5368,448.8874,480.7091,413.7837,383.4943,780.0642,927.2395,932.0077,855.1121,,
"Egipto, República Árabe de",EGY,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,24.9955,24.0802,22.6021,16.472,16.7753,19.6931,24.5077,26.5119,31.755,35.474,35.3741,40.1713,40.9858,41.7311,46.7376,54.2135,44.8423,33.4462,34.2227,40.9831,48.1789,,
"Egipto, República Árabe de",EGY,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,44.3897,44.9128,41.8226,33.7494,33.3092,39.3905,41.1021,45.3233,57.0818,61.173,67.2744,71.8053,86.9177,82.6142,87.2052,103.1648,85.7094,60.9036,75.2723,90.8283,89.508,,
"Egipto, República Árabe de",EGY,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,46.0402,46.2878,42.9847,34.6854,34.2752,40.5503,42.4563,47.0455,59.3212,64.1157,71.3557,77.8427,101.2361,100.6344,109.3044,118.9552,98.9673,74.202,85.21,102.8198,101.0357,,
Cuba,CUB,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,151.6146,161.2873,172.2463,181.093,186.1065,281.742,331.6376,513.8916,554.9969,620.7862,552.807,619.3429,521.4565,622.7105,779.9081,890.1339,881.9601,874.4564,863.5435,901.8383,1079.6912,,
Cuba,CUB,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,29.3991,37.1483,41.4591,46.28,45.5667,49.2792,55.2633,55.7947,53.9169,54.7718,55.9147,75.2811,78.9729,87.2228,83.2949,94.8153,101.2342,104.8833,108.7371,109.9231,105.8053,,
Cuba,CUB,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,29.3991,37.1483,41.4591,46.28,45.5667,49.2792,55.2633,55.7947,53.9169,54.7718,55.9147,75.2811,78.9729,87.2228,83.2949,94.8153,101.2342,104.8833,108.7371,109.9231,105.8053,,
Costa Rica,CRI,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,160.8155,167.2889,184.6968,190.7434,191.5377,197.955,237.8562,280.4947,346.5522,375.7187,473.0655,520.9323,548.7877,579.9868,584.4431,636.4335,638.4593,627.5857,653.1535,663.6198,684.3743,,
Costa Rica,CRI,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,78.2116,80.7215,84.7789,88.4105,93.0163,101.4396,111.8125,130.957,150.7984,139.8286,166.0574,191.3482,190.2479,189.7255,200.8996,197.8223,193.3296,181.468,202.2457,204.244,193.3496,,
Costa Rica,CRI,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,84.1326,84.6776,90.4706,95.6661,97.9245,111.0115,121.6152,142.7422,163.723,152.3864,179.7298,220.2502,227.1544,236.5731,238.2686,238.8606,232.0321,225.7076,249.0116,251.2555,267.4141,,
Estados Unidos,USA,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,2012.0921,2212.3679,2397.7716,2567.217,2746.6439,2911.5586,3138.066,3304.998,3490.2846,3688.4055,3827.5036,3925.8739,4040.6341,4175.3619,4484.1636,4748.7173,4906.4297,5057.3267,5275.9197,5495.1674,6643.3577,,
Estados Unidos,USA,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,685.1155,703.3679,759.6659,807.4294,844.8317,890.7644,927.0953,969.4958,981.0584,961.0828,968.2597,987.6884,1020.113,1035.2471,1056.7149,1087.2094,1117.3519,1129.7075,1163.7743,1207.4746,1156.8839,,
Estados Unidos,USA,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,2520.6755,2667.5613,2905.3823,3139.6125,3299.294,3490.4707,3638.8,3825.719,3856.0657,3913.4666,4004.7628,4094.5663,4232.3235,4255.8213,4340.6129,4494.9034,4688.3135,4846.91,5008.6346,5165.8608,5059.0511,,
España,ESP,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,727.272,752.5598,845.9681,1166.7563,1372.9599,1474.2718,1616.5903,1884.4184,2194.9927,2205.4114,2076.7417,2137.5893,1867.7626,1867.1008,1882.745,1675.2972,1700.5486,1780.121,1925.1327,1915.3755,2125.0721,,
España,ESP,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,244.5285,259.719,288.9413,368.5036,426.3918,448.4168,471.4078,540.3616,618.2292,558.6581,566.0255,593.1862,564.8607,598.854,619.8914,523.7827,521.8963,561.6322,609.8049,590.3289,569.235,,
España,ESP,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,287.9344,302.7584,340.1531,474.1613,551.311,586.05,625.5686,721.8595,800.1939,732.3072,712.8953,771.3306,722.463,762.3754,796.7707,673.8226,676.0741,744.5767,816.2656,797.1336,775.5743,,
Fiji,FJI,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,57.6574,44.5992,51.7117,64.9839,75.5938,89.9741,94.2211,102.2163,94.0942,75.5471,82.0408,85.1817,90.3907,92.9967,109.6079,107.1301,112.5119,122.9536,148.9922,149.3202,127.6994,,
Fiji,FJI,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,8.1318,8.1841,8.632,11.1704,14.386,14.6546,18.2814,22.0454,22.3657,29.9605,28.7232,35.8628,38.229,35.8539,35.556,35.6875,36.3375,28.9498,29.9953,30.1311,25.4578,,
Fiji,FJI,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,11.4847,11.5586,12.1912,15.7763,20.3176,20.697,27.252,34.2255,32.7196,37.973,38.2534,49.5587,53.4495,58.094,61.8237,58.2742,58.1193,58.3734,62.2888,62.5708,52.7511,,
Finlandia,FIN,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,1307.642,1379.8287,1581.9756,2020.8689,2369.4931,2518.5378,2689.0593,3080.9109,3536.4876,3437.5756,3339.3415,3734.7206,3649.6831,3887.413,3916.2643,3243.4137,3198.1152,3304.571,3551.9492,3576.6797,3844.3448,,
Finlandia,FIN,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,373.4436,384.1493,427.1944,531.5802,604.5506,633.6522,642.575,744.4779,833.2512,796.7925,799.4674,856.3361,798.5865,870.5407,868.2298,769.0755,791.9098,806.7782,833.3438,777.1292,775.5518,,
Finlandia,FIN,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,418.9954,430.3915,477.1359,592.8588,674.5781,718.2804,725.831,837.7011,949.8716,912.1516,911.9534,982.5653,923.4757,1004.723,1006.2823,884.9386,910.7517,931.2615,969.3732,883.1456,881.5053,,
Federación de Rusia,RUS,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,56.4638,68.3624,81.8487,95.4372,122.7065,166.0936,217.7276,286.6808,381.9336,320.5399,348.0354,428.7006,483.5179,504.7486,456.9676,293.0913,265.0628,331.104,362.2992,399.9335,545.9502,,
Federación de Rusia,RUS,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,28.7366,36.268,43.8209,54.6676,70.5877,86.7406,109.7877,145.285,192.4009,178.5971,200.3061,233.9832,253.476,281.8428,264.9636,192.9017,188.4278,234.8523,233.4525,239.1923,214.8404,,
Federación de Rusia,RUS,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,38.4687,49.1857,58.2818,68.5818,85.8305,105.2787,134.701,175.003,227.6079,195.903,218.9908,255.5717,275.448,304.3944,282.6232,206.0549,200.3675,248.8772,247.0517,254.0664,227.928,,
Grecia,GRC,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,545.6469,635.1075,706.644,937.7139,1045.1151,1177.3024,1264.7585,1537.0065,1855.8396,1919.1734,1766.9642,1536.7378,1239.1605,1124.7289,967.1238,854.2432,777.7966,787.5415,836.2425,765.0709,904.0972,,
Grecia,GRC,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,321.1571,349.4579,436.9087,593.6624,694.5582,713.6347,739.9612,830.519,914.8777,828.7566,724.6614,728.7703,593.2214,618.1172,632.5759,533.8206,519.1714,528.3523,578.3916,527.8641,560.1334,,
Grecia,GRC,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,339.7636,369.7079,462.1801,628.6916,737.6093,757.9606,788.1286,889.7068,984.6426,889.6774,796.9068,797.8226,706.2511,692.2385,711.1576,603.2578,731.5997,719.5475,764.6993,801.8894,768.4881,,
India,IND,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,3.8153,3.7234,3.6589,4.0955,4.4809,5.5346,6.0265,7.4527,8.5286,9.7622,11.7665,13.9516,13.6062,12.844,13.3858,14.9612,16.0932,18.7464,19.7878,20.3102,20.7536,,
India,IND,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,13.2283,14.6173,14.78,16.0667,18.0613,20.1151,21.2354,25.2539,26.0631,25.4469,29.2676,30.0674,30.6255,38.4537,37.907,37.7321,37.9006,31.3573,30.7152,32.3849,28.6497,,
India,IND,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,14.139,15.542,15.9904,17.454,19.8805,21.5428,22.9404,27.6686,28.458,27.9679,32.6972,33.9486,34.5474,42.6767,42.7572,42.9741,43.4853,37.8156,37.6488,39.8286,35.3158,,
